FirstName,LastName,CompanyName,Title,Address1,City,State,Zip,phone,Email,BadgeType,UF1,UF2,UF3,UF4,DateAdded,DateUpdate,PrintDate,BadgesPrinted,BadgeID
Melisa,Aardema,The Container Store,Sales,400 ALYBAR FERRY FRY,RICHMOND,MN,56368,320-555-1212,Melisa.Aardema@test.com,Press,Yes,Yes,Email,I took the bus here,,2014-04-20 21:50:39,2014-04-20 21:50:39,1,201693
Mose,Aavang,Alston & Bird,Finance Manager,442 FREEDOM RUN RUN,WHITE PLAINS,NY,10017,914-555-1212,Mose.Aavang@test.com,Attendee,Yes,No,Google,Shuttle bus,,2014-04-20 21:47:31,2014-04-20 21:47:31,1,200199
Lauren,Abadi,General Mills,Investment Banking Analyst,285 DEVILS GULCH TRAFFICWAY TRFY,LOOP,TX,79377,806-555-1212,Lauren.Abadi@test.com,Set-Up,No,Yes,Radio Ad,A friend brought me,,2014-04-20 21:50:14,2014-04-20 21:50:14,1,201491
Teofila,Abajian,Intel,Program Manager,291 JANICE TUNNEL TUNL,DURANT,IA,52769,563-555-1212,Teofila.Abajian@test.com,Exhibitor,No,No,A friend told me,I took the bus here,,2014-04-20 21:50:32,2014-04-20 21:50:32,1,201636
Glory,Abbed,Nugget Market,Assistant Manager,119 GLENLOCH CURVE CURV,WEST ENFIELD,ME,04475,207-555-1212,Glory.Abbed@test.com,Attendee,Yes,Yes,Radio Ad,A friend brought me,,2014-04-20 21:47:58,2014-04-20 21:47:58,1,200415
Julienne,Abboud,GoDaddy.com,Programmer,619 FOXFIELD SHOAL SHL,RIVESVILLE,WV,26554,304-555-1212,Julienne.Abboud@test.com,Press,No,No,A friend told me,I took the bus here,,2014-04-20 21:47:44,2014-04-20 21:47:44,1,200304
Jaclyn,Abdallah,Autodesk,Research Assistant,296 WILLOW CIRCLE STREETS STS,PALMER,MA,01009,413-555-1212,Jaclyn.Abdallah@test.com,Speaker,No,No,A friend told me,A friend brought me,,2014-04-20 21:51:06,2014-04-20 21:51:06,1,201905
Rebecca,Abdelmuti,Kimpton Hotels & Restaurants,Process Engineer,979 RED RIVER POINTS PTS,MANTEO,NC,27953,252-555-1212,Rebecca.Abdelmuti@test.com,Set-Up,No,Yes,Email,I took the bus here,,2014-04-20 21:47:23,2014-04-20 21:47:23,1,200130
Vanessa,Abreu,Publix Super Markets,Senior Consultant,248 ALBANY CIR TERRACE TER,COLUMBUS,GA,30546,706-555-1212,Vanessa.Abreu@test.com,Press,No,No,Member Told me,I took the bus here,,2014-04-20 21:50:10,2014-04-20 21:50:10,1,201463
Delana,Adamcik,The Container Store,Senior Director,358 REGATTA VILLAGE VLG,SHADY POINT,OK,74956,918-555-1212,Delana.Adamcik@test.com,Set-Up,Yes,No,Invite,I took the bus here,,2014-04-20 21:49:54,2014-04-20 21:49:54,1,201333
Laree,Adan,NuStar Energy,Sales,211 WESTERDOLL VIEW VW,MELROSE,MN,56331,320-555-1212,Laree.Adan@test.com,Set-Up,Yes,Yes,A friend told me,I took the bus here,,2014-04-20 21:47:06,2014-04-20 21:47:06,1,199992
Suzy,Affeld,Allianz Life Insurance,Flight Attendant,945 NUNN PARKWAY PKWY,PHOENIX,AZ,85716,520-555-1212,Suzy.Affeld@test.com,Attendee,No,No,Radio Ad,I drove here,,2014-04-20 21:48:20,2014-04-20 21:48:20,1,200592
Junior,Agnello,St. Jude Children's Research Hospital,Investment Banking Analyst,835 BUTTERFLY BOTTOM BTM,BOGALUSA,LA,70426,985-555-1212,Junior.Agnello@test.com,Exhibitor,No,No,Email,I drove here,,2014-04-20 21:50:25,2014-04-20 21:50:25,1,201583
Nona,Aguillera,Hitachi Data Systems,Finance Manager,985 GRANADA HILLS VILLAGES VLGS,NYACK,NY,10801,914-555-1212,Nona.Aguillera@test.com,Speaker,No,Yes,Member Told me,I took the bus here,,2014-04-20 21:50:31,2014-04-20 21:50:31,1,201628
Ozella,Akhavan,Adobe,Art Director,699 WALNUT HARBORS HBRS,EAST MILLINOCKET,ME,04430,207-555-1212,Ozella.Akhavan@test.com,Set-Up,Yes,Yes,Invite,I drove here,,2014-04-20 21:50:25,2014-04-20 21:50:25,1,201579
Natashia,Akles,Burns & McDonnell,Engineering Manager,758 MONT BLANC SQUARE SQ,MAPLESVILLE,AL,36792,334-555-1212,Natashia.Akles@test.com,Press,No,No,Member Told me,A friend brought me,,2014-04-20 21:48:42,2014-04-20 21:48:42,1,200761
Ava,Alamos,Mattel,Business Analyst,545 A&M VIADUCT VIA,BANNING,CA,92220,951-555-1212,Ava.Alamos@test.com,Attendee,Yes,No,Invite,I drove here,,2014-04-20 21:47:11,2014-04-20 21:47:11,1,200034
Shelby,Alessandrini,Camden Property Trust,Analyst,700 LAST POINTE RAPID RPD,CUMBERLAND,MD,20877,301-555-1212,Shelby.Alessandrini@test.com,Exhibitor,No,Yes,A friend told me,I took a taxi here,,2014-04-20 21:49:00,2014-04-20 21:49:00,1,200903
Gustavo,Allbritten,Intel,Business Development Manager,778 STONEWAY RADIAL RADL,PHOENIXVILLE,PA,19453,484-555-1212,Gustavo.Allbritten@test.com,Staff,No,No,Google,I took a taxi here,,2014-04-20 21:49:33,2014-04-20 21:49:33,1,201166
Jc,Alnas,Chesapeake Energy,Assistant Vice President,975 PANORAMA WAYS WAYS,MEXICO,MO,65201,573-555-1212,Jc.Alnas@test.com,Exhibitor,No,Yes,Member Told me,A friend brought me,,2014-04-20 21:49:25,2014-04-20 21:49:25,1,201105
Laveta,Alnas,Salesforce.com,Project Manager,187 LONE PINE GATEWAY GTWY,KISSIMMEE,FL,34758,407-555-1212,Laveta.Alnas@test.com,Set-Up,No,No,Google,A friend brought me,,2014-04-20 21:48:52,2014-04-20 21:48:52,1,200837
Muoi,Alsandor,Microsoft,Administrative Assistant,144 FLAGSTONE WAYS WAYS,ORRVILLE,OH,44667,330-555-1212,Muoi.Alsandor@test.com,Staff,No,No,Radio Ad,Shuttle bus,,2014-04-20 21:49:16,2014-04-20 21:49:16,1,201028
Darci,Althauser,Intercontinental Hotels Group,Executive Assistant,855 FRANCES GROVE GRV,TUSKEGEE,AL,36083,334-555-1212,Darci.Althauser@test.com,Speaker,No,Yes,TV Ad,I took a taxi here,,2014-04-20 21:47:38,2014-04-20 21:47:38,1,200248
Augustus,Alvizo,Men's Wearhouse,Director,962 MOUNTAIN RIDGE PATH PATH,SEAL BEACH,CA,92647,714-555-1212,Augustus.Alvizo@test.com,Press,No,Yes,Email,A friend brought me,,2014-04-20 21:49:42,2014-04-20 21:49:42,1,201240
Inger,Amado,Navy Federal Credit Union,Program Manager,461 FALLS KEY KY,LOWELLVILLE,OH,44514,330-555-1212,Inger.Amado@test.com,Attendee,Yes,Yes,Google,I took a taxi here,,2014-04-20 21:49:30,2014-04-20 21:49:30,1,201144
Niki,Amberson,World Wide Technology,Principal Software Engineer,595 WARREN FARM KNOLL KNL,RALEIGH,NC,27577,919-555-1212,Niki.Amberson@test.com,Speaker,Yes,No,Email,Shuttle bus,,2014-04-20 21:49:50,2014-04-20 21:49:50,1,201304
Romaine,Ambrose,Autodesk,Mechanical Engineer,865 RIVERGLEN OVERPASS OPAS,JUNEAU,AK,99801,907-555-1212,Romaine.Ambrose@test.com,Staff,Yes,Yes,Google,I took the bus here,,2014-04-20 21:47:51,2014-04-20 21:47:51,1,200360
Micheal,Ambuehl,Cisco,Account Executive,786 STEBBINS THROUGHWAY TRWY,MERIDIAN,CA,95950,530-555-1212,Micheal.Ambuehl@test.com,Exhibitor,No,Yes,Email,A friend brought me,,2014-04-20 21:49:49,2014-04-20 21:49:49,1,201295
Jackelyn,Amen,Microsoft,Account Manager,353 CROWS NEST MALL MALL,GEORGETOWN,SC,29458,843-555-1212,Jackelyn.Amen@test.com,Exhibitor,No,Yes,TV Ad,I took the bus here,,2014-04-20 21:49:37,2014-04-20 21:49:37,1,201196
Rozella,Amrine,Salesforce.com,Project Manager,363 WEEPING WILLOW GARDENS GDNS,HAMPSHIRE,IL,60140,847-555-1212,Rozella.Amrine@test.com,Attendee,Yes,No,Radio Ad,Shuttle bus,,2014-04-20 21:49:08,2014-04-20 21:49:08,1,200971
